,VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),NN (entropy),NN (max prob),PPCA (log prob),AE (reconstr err),LOF (outlier score),AnchoredNNEnsemble (entropy),AnchoredNNEnsemble (std),AnchoredNNEnsemble (mutual information),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),LogReg (entropy),LogReg (max prob),MCDropout (entropy),MCDropout (std),MCDropout (mutual information)
7656,777.1153,-17.216732,23.092033,351.41187,0.17109953,0.025462568,1396.4298939154469,0.69146466,1.0943607550142538,0.14650092,0.048024803,0.05275716,0.20195591,0.009944484,0.00237149,0.03402034428450385,0.0035522294369730867,0.17222306,9.313226e-09,2.0861626e-07
8396,1015.3815,-15.904702,21.552765,145.5605,0.16595614,0.0244897,1608.0272464764942,1.0298886,1.1260171893576942,0.13714084,0.03782696,0.043814875,0.21287262,0.013028094,0.0035429746,0.7169056010524089,0.1975028681943335,0.15455785,3.7252903e-09,4.7683716e-07
9414,-296.25128,-19.12533,24.524134,2975.2974,0.034338668,0.0035914183,998.3774121356483,0.38847023,1.1190391561845938,0.008845174,0.0008776953,0.0008750437,0.038252864,0.0011093441,0.00022853538,0.08166943092490016,0.01013238015194362,0.042706728,1.8626451e-09,-5.066395e-07
10406,194.32275,-18.608477,24.919413,1811.8385,0.120778695,0.016409993,1107.875608716682,0.4730567,1.0190559585856078,0.020135071,0.0023315155,0.0019417312,0.12595466,0.005531738,0.0013502836,0.09180271204553728,0.011690528597782746,0.13478704,9.313226e-09,3.427267e-07
17392,3.8353086,-14.294601,23.717955,1398.1893,0.048597697,0.005420089,1045.879758248983,0.4172877,1.0446524064836953,0.244919,0.07200709,0.078338355,0.08004599,0.004662835,0.0014739111,0.13385552844730822,0.018661103168499005,0.048547305,1.3969839e-09,-3.3155084e-07
7517,-304.11365,-19.047379,24.977947,1415.3934,0.039860375,0.0042829514,1064.9313370783775,0.47415155,1.1368396408742618,0.1781062,0.07149474,0.077521205,0.03124472,0.0011006837,0.00024354272,0.014340945537448488,0.001300337601865209,0.02946237,1.1641532e-09,-4.3585896e-07
16136,991.0522,-14.632572,23.432613,1042.0347,0.31152338,0.056040764,1230.2693502005015,0.4991601,1.0245623918302897,0.066085696,0.011804666,0.012291931,0.29792726,0.0113850655,0.0018445253,0.13359491226012365,0.01861552848365955,0.21256946,1.1175871e-08,-7.4505806e-07
10085,-158.25023,-17.717285,24.944756,1960.3732,0.058101386,0.006711483,1024.70318602583,0.41993687,1.0273397521725063,0.0026355833,0.00037653738,0.00042240717,0.037589625,0.0012953387,0.00033132732,0.0764635894484263,0.009351639864198624,0.049787585,2.7939677e-09,-6.7427754e-07
6503,-37.61651,-16.831402,25.5287,1393.8235,0.02521185,0.0024999976,1116.7444059561772,0.41936398,1.1093316174985688,0.09722908,0.032748476,0.035448924,0.020212376,0.0006766535,0.0001667384,0.0032992526745836033,0.000245592565652486,0.032146975,1.3969839e-09,-5.1409006e-07
7713,1183.317,-8.590614,23.260292,155.48773,0.2566194,0.04316485,1630.708444480872,0.8764707,1.1871706489906866,0.3330427,0.084514625,0.084492296,0.3696034,0.01723094,0.0031121075,0.2751130248336331,0.04736884064620639,0.3186652,2.6077032e-08,2.9802322e-08
149,378.50693,-17.783924,24.34349,296.03882,0.394185,0.0777455,1163.5089687547995,0.48806897,1.273094531398679,0.2348202,0.039269768,0.0362207,0.3760864,0.013782407,0.002014935,0.5293315917951278,0.11998982631919453,0.4419474,3.7252903e-08,-5.9604645e-08
6677,-297.2967,-19.41011,24.331985,2056.5212,0.08914665,0.011277318,976.5794871631892,0.31485382,1.0415202044836005,0.004965419,0.00096403295,0.000903666,0.06602271,0.0013731361,0.00017471611,0.3085219016893989,0.05530585537655075,0.06294461,9.313226e-10,-8.6426735e-07
94,1051.2158,-10.111641,24.25509,269.30063,0.38947538,0.07643056,1956.537439663044,1.250189,1.4897129816350922,0.11708966,0.025306804,0.025298461,0.4188201,0.027352566,0.0070701838,0.20594554503991874,0.03233004193814604,0.3897393,2.2351742e-08,-2.3841858e-07
7075,-273.25427,-19.754158,25.077084,2775.1736,0.032701824,0.0033907294,1027.893748053494,0.44190508,1.1021865869494076,0.016108524,0.00439463,0.004760121,0.023340624,0.00058344746,0.00011164509,0.008901939444323768,0.0007533476090507696,0.02073739,1.1641532e-09,-1.6950071e-07
5035,388.38824,-19.56129,24.915504,610.6415,0.13721016,0.019250274,1143.4867815390655,0.6093073,1.077552010153629,0.036667563,0.009435023,0.009870203,0.09879668,0.0040350645,0.001081802,0.05406327919959408,0.006156148926423577,0.070908174,9.313226e-10,-3.054738e-07
4201,1033.898,-16.322512,26.305525,1156.1093,0.1103045,0.014660358,1390.9225182596213,0.80317706,1.2365957045543134,0.21744435,0.08382941,0.09305,0.119124055,0.0069318055,0.001965031,0.019044944643955255,0.0018042183277728885,0.0831403,2.7939677e-09,4.8428774e-07
17934,-192.76094,-17.129778,23.604858,1693.3195,0.0014479172,9.8109245e-05,1065.9070611588104,0.40573663,1.09694550791528,9.510971e-06,9.2268937e-07,8.198167e-07,0.0015215534,3.9549566e-05,1.0985299e-05,0.00039540350589335255,2.351108165687954e-05,0.0035407878,8.731149e-11,4.3143518e-07
13298,939.20166,-13.998642,22.989428,189.35445,0.37342992,0.07202351,1476.3574979225364,0.9250507,1.040679604699182,0.12575863,0.041349083,0.042690225,0.4789915,0.030456254,0.007106632,0.0340935455667217,0.0035612331825568555,0.3937076,4.4703484e-08,-4.7683716e-07
10804,1182.267,-4.172927,23.954851,136.6443,0.0459114,0.005065143,1553.8700581782878,1.183058,1.0523490511298448,0.023124993,0.0067710644,0.0075068856,0.040043287,0.0016067981,0.0004453212,0.0036160019189012934,0.0002721751492719138,0.0147854015,2.3283064e-10,-2.6170164e-07
